time,Vsample,Vpowerresistor,Rsample,temperature,power,current,targetvoltage,targetpower,Voltagesupply,dv,pooltemp,integral,powerj,currentj,ljmcurrent,Ro
1.010389804840088,2.529164014898951,0.013064189814031124,9.757196440456086,91.690724781272,0.6555848960606535,0.2592101153577604,0,1,0.3,0,91.22,0,1.0000023585289763,0.22025668527684225,0.036709447546140375,9.75
1.019927978515625,2.5356040558773065,0.01310611329972744,9.750750775126743,91.26910878641708,0.6593633738011192,0.2600419305501476,0,1,0.3,0,91.22,0.03517152977315162,1.0000023585289763,0.22025668527684225,0.036709447546140375,9.75
1.0294616222381592,2.8297786958253557,0.013886635191738605,10.270367464858982,125.25764160511393,0.7796846115531856,0.2755284760265596,0,1,0.3,0,91.22,0.06910610599279166,1.0000046341104434,0.22025704966086437,0.03670950827681073,9.75
1.038930892944336,3.068290750585009,0.015222030691802502,10.159081725722936,117.97835463912463,0.9266987296979909,0.3020244184881449,0,1,0.3,0,91.22,0.10184723129026466,1.000006829661596,0.22025740122940948,0.03670956687156825,9.75
1.0484933853149414,3.178481572087685,0.016107361763715744,9.945481673732798,104.00660869523796,1.015812550415085,0.31959051118483617,0,1,0.3,0,91.22,0.13343687834542384,1.0000089479970342,0.22025774043321436,0.03670962340553573,9.75
1.0574393272399902,3.2316148435350636,0.0164723452180624,9.887686662587173,100.22619195363514,1.0561959387802435,0.326832246390127,0,1,0.3,0,91.22,0.16391554369375708,1.0000109918323707,0.22025806770716208,0.03670967795119368,9.75
1.0665857791900635,3.2549681518245577,0.016601815819740295,9.8814730047116,99.81975174722655,1.0721901142006305,0.32940110753452967,0,1,0.3,0,91.22,0.19332229964116088,1.0000129637877122,0.22025838347083918,0.036709730578473196,9.75
1.0753638744354248,3.2690377797014145,0.01674485020339489,9.839413437305492,97.06860264949583,1.0861021414749763,0.3322390913372002,0,1,0.3,0,91.22,0.22169484435291475,1.0000148663910187,0.22025868812907443,0.03670978135484574,9.75
1.084221363067627,3.27728263187648,0.016779376193881035,9.843932380919458,97.36419027468988,1.0910864717049205,0.3329241308309729,0,1,0.3,0,91.22,0.24906955018106794,1.0000167020813433,0.22025898207245723,0.03670983034540954,9.75
1.0930373668670654,3.283175494952417,0.01678800769150257,9.856562373947282,98.1903279662011,1.0936106242423398,0.33309539070441607,0,1,0.3,0,91.22,0.27548151029219187,1.0000184732119608,0.22025926567783918,0.036709877612973195,9.75
1.1017534732818604,3.2810426414312426,0.016763346269726753,9.864650319057693,98.71936676201555,1.0912947207152943,0.33260607678029275,0,1,0.3,0,91.22,0.30096458365527334,1.0000201820533823,0.22025953930881684,0.03670992321813614,9.75
1.1113379001617432,3.2796617237167736,0.016806503757834435,9.835177694127628,96.79153938563762,1.0936437913506292,0.3334623761475086,0,1,0.3,0,91.22,0.32555143844742074,1.0000218307962672,0.22025980331619824,0.036709967219366375,9.75
1.1204068660736084,3.2841875509700578,0.016791706904768944,9.857428640675082,98.24699114829153,1.0941887852416692,0.3331687877930346,0,1,0.3,0,91.22,0.3492735939330274,1.0000234215542314,0.22026005803845253,0.036710009673075424,9.75
1.1290509700775146,3.2844744434009243,0.016789240762591362,9.859737809957789,98.3980357115247,1.0941236549372295,0.33311985640062225,0,1,0.3,0,91.22,0.3721614608700799,1.0000249563665562,0.22026030380214415,0.03671005063369069,9.75
1.137664794921875,3.279196680340934,0.01681266911327839,9.830176968073092,96.46443799536183,1.0938898560304176,0.33358470462853945,0,1,0.3,0,91.22,0.3942443804954093,1.0000264372008036,0.22026054092235167,0.036710090153725276,9.75
1.1462366580963135,3.2755050886815513,0.01680157147347927,9.825596178912916,96.1648050047694,1.0919371599053203,0.33336451336268397,0,1,0.3,0,91.22,0.41555066213886405,1.0000278659553377,0.2202607697030716,0.03671012828384527,9.75
1.154921531677246,3.274370078764968,0.01674608327448368,9.85473732960656,98.07095039289378,1.0879538494142034,0.3322635570334064,0,1,0.3,0,91.22,0.43610761951462357,1.000029244461759,0.2202609904376083,0.03671016507293472,9.75
1.1640572547912598,3.2783217906352857,0.016849659383296967,9.805979722759737,94.88167731290804,1.0960040777985072,0.3343186385574795,0,1,0.3,0,91.22,0.45594160573617576,1.0000305744872517,0.22026120340895008,0.036710200568158345,9.75
1.1728324890136719,3.2861290326969104,0.01681266911327839,9.850958353609625,97.82376462647991,1.0962023827434668,0.33358470462853945,0,1,0.3,0,91.22,0.4750780470998476,1.0000318577368503,0.22026140889013204,0.03671023481502201,9.75
1.1813788414001465,3.2820543669276496,0.016806503757834435,9.842352846054865,97.26087166763897,1.0944416478410013,0.3334623761475086,0,1,0.3,0,91.22,0.4935414756801963,1.0000330958556238,0.22026160714458612,0.03671026785743102,9.75
1.190190076828003,3.280864821007503,0.016817601397633553,9.832293147466663,96.60285893947304,1.0947673968099711,0.33368256741336416,0,1,0.3,0,91.22,0.5113555607790481,1.0000342904307864,0.22026179842647906,0.03671029973774651,9.75
1.1989870071411133,3.2766262167063185,0.016806503757834435,9.826074697125314,96.19610525414136,1.0926315639701105,0.3334623761475086,0,1,0.3,0,91.22,0.5285431392685002,1.0000354429937304,0.22026198298103808,0.03671033049683968,9.75
1.2084498405456543,3.2690103464390163,0.016763346269726753,9.828474506791418,96.35307867552442,1.087292706283267,0.33260607678029275,0,1,0.3,0,91.22,0.545126244866784,1.000036555021991,0.22026216104486537,0.03671036017414423,9.75
